2021-11-04T09:25:11000Z,1.99,2.68687E+12,3473545445,33.27B ADA
2021-11-04T09:35:19000Z,1.98,2.67982E+12,3465986329,33.27B ADA
2021-11-04T09:45:27000Z,1.97,2.6755E+12,3475685668,33.27B ADA
2021-11-04T09:55:34000Z,1.97,2.68127E+12,3476821459,33.27B ADA
2021-11-04T10:05:41000Z,1.98,2.68601E+12,3491503477,33.27B ADA
2021-11-04T10:15:47000Z,1.98,2.68792E+12,3481503125,33.27B ADA
2021-11-04T10:25:54000Z,1.98,2.68369E+12,3480006899,33.27B ADA
2021-11-04T10:36:01000Z,1.97,2.67713E+12,3483022011,33.27B ADA
2021-11-04T10:46:08000Z,1.97,2.67641E+12,3479154587,33.27B ADA
2021-11-04T10:56:15000Z,1.97,2.67757E+12,3480571786,33.27B ADA
2021-11-04T11:06:22000Z,1.96,2.66893E+12,3481894293,33.27B ADA
2021-11-04T11:16:29000Z,1.97,2.67054E+12,3466468569,33.27B ADA
2021-11-04T11:26:36000Z,1.98,2.68762E+12,3446063966,33.27B ADA
2021-11-04T11:36:43000Z,1.99,2.69186E+12,3448302581,33.27B ADA
2021-11-04T11:46:50000Z,1.99,2.6916E+12,3457297555,33.27B ADA
2021-11-04T11:56:57000Z,1.98,2.68843E+12,3442495815,33.27B ADA
2021-11-04T12:07:04000Z,1.97,2.67484E+12,3434244899,33.27B ADA
2021-11-04T12:17:12000Z,1.97,2.67828E+12,3402884981,33.27B ADA
2021-11-04T12:27:18000Z,1.98,2.68321E+12,3401253369,33.27B ADA
2021-11-04T12:37:25000Z,1.98,2.68613E+12,3407467916,33.27B ADA
2021-11-04T12:47:33000Z,1.99,2.69292E+12,3411046281,33.27B ADA
2021-11-04T12:57:40000Z,1.98,2.6903E+12,3404900073,33.27B ADA
2021-11-04T13:07:49000Z,1.98,2.68982E+12,3399823147,33.27B ADA
2021-11-04T13:17:56000Z,1.98,2.68793E+12,3381182923,33.27B ADA
2021-11-04T13:28:02000Z,1.98,2.70221E+12,3378521469,33.27B ADA
2021-11-04T13:38:09000Z,1.99,2.70144E+12,3382418863,33.27B ADA
2021-11-04T13:48:15000Z,1.99,2.69915E+12,3366600475,33.27B ADA
2021-11-04T13:58:22000Z,1.98,2.70063E+12,3366311558,33.27B ADA
2021-11-04T14:08:29000Z,1.99,2.70374E+12,3359305603,33.27B ADA
2021-11-04T14:18:35000Z,1.99,2.70209E+12,3357214482,33.27B ADA
2021-11-04T14:28:42000Z,1.99,2.70121E+12,3351922971,33.27B ADA
2021-11-04T14:38:48000Z,1.99,2.7084E+12,3348814499,33.27B ADA
2021-11-04T14:48:55000Z,1.98,2.70561E+12,3354571566,33.27B ADA
2021-11-04T14:59:02000Z,1.98,2.70815E+12,3353629172,33.27B ADA
