year,month,day,hour,minute,second,Price,High,Low,Volume
2021,11,3,22,32,29,331.62,332.15,323.20,20786502
2021,11,3,22,33,18,331.62,332.15,323.20,20786502
2021,11,3,22,43,25,331.62,332.15,323.20,20786502
2021,11,3,22,53,32,331.62,332.15,323.20,20786502
2021,11,3,23,3,39,331.62,332.15,323.20,20786502
2021,11,3,23,10,32,331.62,332.15,323.20,20786502
2021,11,3,23,11,1,331.62,332.15,323.20,20786502
2021,11,3,23,21,7,331.62,332.15,323.20,20786502
2021,11,3,23,31,13,331.62,332.15,323.20,20786502
2021,11,3,23,41,20,331.62,332.15,323.20,20786502
2021,11,3,23,51,26,331.62,332.15,323.20,20786502
2021,11,4,0,1,33,331.62,332.15,323.20,20786502
2021,11,4,0,11,40,331.62,332.15,323.20,20786502
2021,11,4,0,17,23,331.62,332.15,323.20,20786502
2021,11,4,0,19,5,331.62,332.15,323.20,20786502
2021,11,4,0,29,12,331.62,332.15,323.20,20786502
2021,11,4,0,39,18,331.62,332.15,323.20,20786502
2021,11,4,0,49,24,331.62,332.15,323.20,20786502
2021,11,4,0,59,31,331.62,332.15,323.20,20786502
