Date-Time,Burned
2022-01-28T00:01:20,410301658669677
2022-01-28T00:11:20,410301658669677
2022-01-28T00:21:21,410301658669677
2022-01-28T00:31:22,410301658669677
2022-01-28T00:41:22,410301658669677
2022-01-28T00:51:23,410301658669677
2022-01-28T01:01:24,410301658669677
2022-01-28T01:11:24,410301658669677
2022-01-28T01:21:25,410301658669677
2022-01-28T01:31:25,410301658669677
2022-01-28T01:41:26,410301658669677
2022-01-28T01:51:26,410301658669677
2022-01-28T02:01:27,410301658669677
2022-01-28T02:11:27,410301658669677
2022-01-28T02:21:28,410301658669677
2022-01-28T02:31:28,410301658669677
2022-01-28T02:41:29,410301658669677
2022-01-28T02:51:30,410301658669677
2022-01-28T03:01:30,410301658669677
2022-01-28T03:11:31,410301658669677
2022-01-28T03:21:31,410301658669677
2022-01-28T03:31:32,410301658669677
2022-01-28T03:41:32,410301658669677
2022-01-28T03:51:33,410301658669677
2022-01-28T04:01:34,410301658669677
2022-01-28T04:11:34,410301658669677
2022-01-28T04:21:35,410301658669677
2022-01-28T04:31:35,410301658669677
2022-01-28T04:41:36,410301658669677
2022-01-28T04:51:37,410301658669677
2022-01-28T05:01:37,410301658669677
2022-01-28T05:11:38,410301658669677
2022-01-28T05:21:38,410301658669677
2022-01-28T05:31:39,410301658669677
2022-01-28T05:41:40,410301658669677
2022-01-28T05:51:40,410301658669677
2022-01-28T06:01:41,410301658669677
2022-01-28T06:11:41,410301658669677
2022-01-28T06:21:42,410301658669677
2022-01-28T06:31:43,410301658669677
2022-01-28T06:41:43,410301658669677
2022-01-28T06:51:44,410301658669677
2022-01-28T07:01:44,410301658669677
2022-01-28T07:11:45,410301658669677
2022-01-28T07:21:45,410301658669677
2022-01-28T07:31:46,410301658669677
2022-01-28T07:41:46,410301658669677
2022-01-28T07:51:47,410301658669677
2022-01-28T08:01:47,410301660101657
2022-01-28T08:11:48,410301660101657
2022-01-28T08:21:48,410301660101657
2022-01-28T08:31:49,410301660101657
2022-01-28T08:41:50,410301660101657
2022-01-28T08:51:50,410301660101657
2022-01-28T09:01:51,410301660101657
2022-01-28T09:11:51,410301660101657
2022-01-28T09:21:52,410301660101657
2022-01-28T09:31:52,410301660101657
2022-01-28T09:41:53,410301660101657
2022-01-28T09:51:53,410301660101657
2022-01-28T10:01:54,410301660101657
2022-01-28T10:11:55,410301660101657
2022-01-28T10:21:55,410301660101657
2022-01-28T10:31:56,410301660101657
2022-01-28T10:41:57,410301660101657
